0	L4_SP
1	L6_IPC
2	L23_PC
3	L5_TTPC1
4	L4_SS
5	L4_PC
6	L5_TTPC2
7	L6_TPC_L1
8	L6_TPC_L4
9	L23_BTC
10	L23_NBC
11	L23_LBC
12	L23_SBC
13	L23_DBC
14	L23_MC
15	L23_BP
16	L23_NGC
17	L4_MC
18	L4_NBC
19	L4_BTC
20	L4_SBC
21	L4_LBC
22	L5_NBC
23	L5_STPC
24	L5_UTPC
25	L5_BTC
26	L5_MC
27	L5_LBC
28	L5_BP
29	L6_LBC
30	L6_UTPC
31	L6_BPC
32	L6_MC
